transporter	GO_level1	GO_level2	GO_level3	GO_level4	GO_level5	GO_level6	GO_level7	GO_level8	GO_level9	GO_level10	GO_level11	GO_level12	mainrole	sub1role	name
T46	biological_process	localization	establishment of localization	transport	nitrogen compound transport	amide transport	amide transport	amide transport	amide transport	amide transport	amide transport	amide transport	Transport and binding proteins	Amino acids, peptides and amines	2A1704: oligopeptide transporter, peptide:H+ symporter
T451	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	chitin_NgcE: carbohydrate ABC transporter, N-acetylglucosamine/diacetylchitobiose-binding protein
T731	biological_process	localization	establishment of localization	transport	nitrogen compound transport	nitrogen compound transport	nitrogen compound transport	nitrogen compound transport	nitrogen compound transport	nitrogen compound transport	nitrogen compound transport	nitrogen compound transport	None	None	taurine_ABC_bnd: taurine ABC transporter, periplasmic binding protein
T99	None	None	None	None	None	None	None	None	None	None	None	None	Protein fate	Protein and peptide secretion and trafficking	T7SS_EccD: type VII secretion integral membrane protein EccD
T882	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Amino acids, peptides and amines	2A0305: ethanolamine permease
T207	biological_process	localization	establishment of localization	transport	single-organism transport	secretion	secretion by cell	protein secretion	protein secretion	protein secretion	protein secretion	protein secretion	None	None	OrgA_MxiK: type III secretion apparatus protein OrgA/MxiK
T32	biological_process	localization	establishment of localization	transport	ion transport	anion transport	organic anion transport	carboxylic acid transport	monocarboxylic acid transport	monocarboxylic acid transport	monocarboxylic acid transport	monocarboxylic acid transport	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	bass: bile acid transporter
T98	biological_process	localization	establishment of localization	transport	ion transport	anion transport	inorganic anion transport	inorganic anion transport	inorganic anion transport	inorganic anion transport	inorganic anion transport	inorganic anion transport	Transport and binding proteins	Anions	modC_ABC: molybdate ABC transporter, ATP-binding protein
T559	biological_process	localization	establishment of localization	transport	single-organism transport	carbohydrate transport	monosaccharide transport	hexose transport	hexose transport	hexose transport	hexose transport	hexose transport	None	None	RhaS: rhamnose ABC transporter, rhamnose-binding protein
T844	biological_process	localization	establishment of localization	transport	ion transport	anion transport	organic anion transport	organic anion transport	organic anion transport	organic anion transport	organic anion transport	organic anion transport	Transport and binding proteins	Other	SsuA_fam: ABC transporter, substrate-binding protein, aliphatic sulfonates family
T61	biological_process	localization	establishment of localization	transport	organic substance transport	organic anion transport	carboxylic acid transport	dicarboxylic acid transport	dicarboxylic acid transport	dicarboxylic acid transport	dicarboxylic acid transport	dicarboxylic acid transport	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	Dcu: transporter, anaerobic C4-dicarboxylate uptake (Dcu) family
T916	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Other	3a01208: antigen peptide transporter 2
T267	molecular_function	catalytic activity	hydrolase activity	hydrolase activity, acting on acid anhydrides	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	pyrophosphatase activity	nucleoside-triphosphatase activity	ATPase activity	ATPase activity, coupled	ATPase activity, coupled to movement of substances	ATPase activity, coupled to movement of substances	ATPase activity, coupled to movement of substances	Transport and binding proteins	Amino acids, peptides and amines	PhnU2: putative 2-aminoethylphosphonate ABC transporter, permease protein
T858	biological_process	localization	establishment of localization	transport	single-organism transport	secretion	secretion by cell	protein secretion	protein secretion	protein secretion	protein secretion	protein secretion	Protein fate	Protein and peptide secretion and trafficking	type_III_yscD: type III secretion apparatus protein, YscD/HrpQ family
T373	biological_process	localization	establishment of localization	transport	organic substance transport	organic substance transport	organic substance transport	organic substance transport	organic substance transport	organic substance transport	organic substance transport	organic substance transport	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	malonate_madM: malonate transporter, MadM subunit
T340	biological_process	single-organism process	single-organism cellular process	movement of cell or subcellular component	cell motility	cell motility	cell motility	cell motility	cell motility	cell motility	cell motility	cell motility	Cellular processes	Chemotaxis and motility	FliI_clade2: flagellar protein export ATPase FliI
T38	biological_process	localization	establishment of localization	transport	organic substance transport	nucleobase-containing compound transport	nucleobase-containing compound transport	nucleobase-containing compound transport	nucleobase-containing compound transport	nucleobase-containing compound transport	nucleobase-containing compound transport	nucleobase-containing compound transport	Transport and binding proteins	Nucleosides, purines and pyrimidines	nupC: nucleoside transporter, NupC family
T224	biological_process	localization	establishment of localization	transport	single-organism transport	secretion	secretion by cell	protein secretion	protein secretion	protein secretion	protein secretion	protein secretion	Protein fate	Protein and peptide secretion and trafficking	type_I_sec_PrtD: type I secretion system ATPase
T101	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Other	8a0101: efflux pump membrane protein
T288	None	None	None	None	None	None	None	None	None	None	None	None	Hypothetical proteins	Conserved	ydaH: AbgT transporter family
T453	molecular_function	catalytic activity	hydrolase activity	hydrolase activity, acting on acid anhydrides	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	pyrophosphatase activity	nucleoside-triphosphatase activity	ATPase activity	ATPase activity, coupled	ATPase activity, coupled to movement of substances	ATPase activity, coupled to movement of substances	ATPase activity, coupled to movement of substances	None	None	Mtu_efflux: ABC transporter efflux protein, DrrB family
T62	biological_process	localization	establishment of localization	transport	single-organism transport	organic acid transport	amino acid transport	amino acid transport	amino acid transport	amino acid transport	amino acid transport	amino acid transport	Transport and binding proteins	Amino acids, peptides and amines	livcs: branched-chain amino acid transport system II carrier protein
T28	biological_process	localization	establishment of localization	transport	single-organism transport	secretion	secretion by cell	protein secretion	protein secretion	protein secretion	protein secretion	protein secretion	Protein fate	Protein and peptide secretion and trafficking	type_II_gspD: type II secretion system protein D
T333	None	None	None	None	None	None	None	None	None	None	None	None	Protein fate	Protein and peptide secretion and trafficking	T7SS_mycosin: type VII secretion-associated serine protease mycosin
T643	None	None	None	None	None	None	None	None	None	None	None	None	Protein fate	Protein modification and repair	hepto_Aah_TibC: autotransporter strand-loop-strand O-heptosyltransferase
T817	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Cations and iron carrying compounds	2A0121: H+ Antiporter protein
T363	None	None	None	None	None	None	None	None	None	None	None	None	Cellular processes	Pathogenesis	type_III_ssaH: type III secretion system protein, SsaH family
T588	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	2A73: putative bicarbonate transporter, IctB family
T182	biological_process	localization	establishment of localization	establishment of localization	establishment of localization	establishment of localization	establishment of localization	establishment of localization	establishment of localization	establishment of localization	establishment of localization	establishment of localization	Transport and binding proteins	Unknown substrate	TRAP_TAXI: TRAP transporter solute receptor, TAXI family
T422	biological_process	localization	establishment of localization	transport	single-organism transport	secretion	secretion by cell	protein secretion	protein secretion	protein secretion	protein secretion	protein secretion	Protein fate	Protein and peptide secretion and trafficking	VI_chp_2: type VI secretion protein, EvpB/VC_A0108 family
T75	biological_process	localization	establishment of localization	transport	single-organism transport	secretion	secretion by cell	protein secretion	protein secretion	protein secretion	protein secretion	protein secretion	None	None	gspJ: type II secretion system protein J
T56	biological_process	localization	establishment of localization	transport	ion transport	anion transport	organic anion transport	carboxylic acid transport	carboxylic acid transport	carboxylic acid transport	carboxylic acid transport	carboxylic acid transport	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	lctP: transporter, lactate permease (LctP) family
T330	molecular_function	transporter activity	transmembrane transporter activity	substrate-specific transmembrane transporter activity	ion transmembrane transporter activity	cation transmembrane transporter activity	inorganic cation transmembrane transporter activity	monovalent inorganic cation transmembrane transporter activity	monovalent inorganic cation transmembrane transporter activity	monovalent inorganic cation transmembrane transporter activity	monovalent inorganic cation transmembrane transporter activity	monovalent inorganic cation transmembrane transporter activity	Transport and binding proteins	Cations and iron carrying compounds	exbB: tonB-system energizer ExbB
T216	None	None	None	None	None	None	None	None	None	None	None	None	Protein fate	Protein and peptide secretion and trafficking	T7SS_EccE: type VII secretion protein EccE
T477	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Amino acids, peptides and amines	NHLM_micro_HlyD: NHLM bacteriocin system secretion protein
T746	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Cations and iron carrying compounds	malonate_biotin: Na+-transporting malonate decarboxylase, carboxybiotin decarboxylase subunit
T991	biological_process	localization	establishment of localization	transport	single-organism transport	secretion	secretion by cell	protein secretion	protein secretion	protein secretion	protein secretion	protein secretion	Protein fate	Protein and peptide secretion and trafficking	typeII_sec_gspC: type II secretion system protein C
T51	biological_process	localization	establishment of localization	transport	ion transport	cation transport	monovalent inorganic cation transport	monovalent inorganic cation transport	monovalent inorganic cation transport	monovalent inorganic cation transport	monovalent inorganic cation transport	monovalent inorganic cation transport	Transport and binding proteins	Cations and iron carrying compounds	NhaA: Na+/H+ antiporter NhaA
T377	molecular_function	transporter activity	transmembrane transporter activity	active transmembrane transporter activity	active transmembrane transporter activity	active transmembrane transporter activity	active transmembrane transporter activity	active transmembrane transporter activity	active transmembrane transporter activity	active transmembrane transporter activity	active transmembrane transporter activity	active transmembrane transporter activity	None	None	ExbD_1: TonB system transport protein ExbD
T63	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Unknown substrate	YidE_YbjL_dupl: AspT/YidE/YbjL antiporter duplication domain
T939	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	PQQ_ABC_ATP: ABC transporter, ATP-binding subunit, PQQ-dependent alcohol dehydrogenase system
T323	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Unknown substrate	actII: transport protein
T343	None	None	None	None	None	None	None	None	None	None	None	None	Protein fate	Protein and peptide secretion and trafficking	T2SS_GspN_Lepto: type II secretion system protein N
T5	biological_process	localization	establishment of localization	transport	single-organism transport	secretion	secretion by cell	protein secretion	protein secretion	protein secretion	protein secretion	protein secretion	Protein fate	Protein and peptide secretion and trafficking	type_II_gspE: type II secretion system protein E
T94	molecular_function	transporter activity	transmembrane transporter activity	passive transmembrane transporter activity	channel activity	wide pore channel activity	wide pore channel activity	wide pore channel activity	wide pore channel activity	wide pore channel activity	wide pore channel activity	wide pore channel activity	Cellular processes	Detoxification	outer_NodT: efflux transporter, outer membrane factor (OMF) lipoprotein, NodT family
T4	biological_process	localization	establishment of localization	transport	nitrogen compound transport	amide transport	amide transport	amide transport	amide transport	amide transport	amide transport	amide transport	Transport and binding proteins	Amino acids, peptides and amines	oligo_HPY: oligopeptide/dipeptide ABC transporter, ATP-binding protein, C-terminal domain
T257	None	None	None	None	None	None	None	None	None	None	None	None	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	LptF_YjgP: LPS export ABC transporter permease LptF
T368	biological_process	localization	establishment of localization	transport	organic substance transport	organophosphate ester transport	organophosphate ester transport	organophosphate ester transport	organophosphate ester transport	organophosphate ester transport	organophosphate ester transport	organophosphate ester transport	Transport and binding proteins	Other	glpT: glycerol-3-phosphate transporter
T42	biological_process	localization	establishment of localization	transport	ion transport	cation transport	metal ion transport	transition metal ion transport	transition metal ion transport	transition metal ion transport	transition metal ion transport	transition metal ion transport	Transport and binding proteins	Cations and iron carrying compounds	ECF_T_CbiQ: cobalt ECF transporter T component CbiQ
T158	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	polys_exp_MPA1: polysaccharide export protein, MPA1 family
T846	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Amino acids, peptides and amines	3a0801s05tom22: mitochondrial import receptor subunit
T937	biological_process	localization	establishment of localization	transport	single-organism transport	carbohydrate transport	monosaccharide transport	hexose transport	hexose transport	hexose transport	hexose transport	hexose transport	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	fucP: L-fucose:H+ symporter permease
T494	biological_process	localization	establishment of localization	transport	single-organism transport	secretion	secretion by cell	protein secretion	protein secretion	protein secretion	protein secretion	protein secretion	Protein fate	Protein and peptide secretion and trafficking	VI_FHA: type VI secretion system FHA domain protein
T428	None	None	None	None	None	None	None	None	None	None	None	None	Protein fate	Protein and peptide secretion and trafficking	LcrR: type III secretion system regulator LcrR
T896	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Other	CynX: cyanate transporter
T644	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Unknown substrate	ECF_S_folT_fam: ECF transporter S component, folate family
T412	biological_process	localization	establishment of localization	transport	ion transport	cation transport	monovalent inorganic cation transport	monovalent inorganic cation transport	monovalent inorganic cation transport	monovalent inorganic cation transport	monovalent inorganic cation transport	monovalent inorganic cation transport	Transport and binding proteins	Cations and iron carrying compounds	NhaD: Na+/H+ antiporter, NhaD family
T71	biological_process	localization	establishment of localization	transport	ion transport	anion transport	organic anion transport	carboxylic acid transport	carboxylic acid transport	carboxylic acid transport	carboxylic acid transport	carboxylic acid transport	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	gntP: transporter, gluconate:H+ symporter (GntP) family
T381	biological_process	localization	establishment of localization	transport	organic substance transport	nucleobase-containing compound transport	nucleotide transport	nucleotide transport	nucleotide transport	nucleotide transport	nucleotide transport	nucleotide transport	Transport and binding proteins	Other	NMN_trans_PnuC: nicotinamide mononucleotide transporter PnuC
T960	biological_process	localization	establishment of localization	transport	single-organism transport	single-organism transport	single-organism transport	single-organism transport	single-organism transport	single-organism transport	single-organism transport	single-organism transport	None	None	efflux_Bcr_CflA: drug resistance transporter, Bcr/CflA subfamily
T140	None	None	None	None	None	None	None	None	None	None	None	None	Protein fate	Protein and peptide secretion and trafficking	type_I_sec_LssB: type I secretion system ATPase
T967	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Unknown substrate	Trep_Strep: putative ECF transporter S component, Trep_Strep family
T619	molecular_function	binding	ion binding	ion binding	ion binding	ion binding	ion binding	ion binding	ion binding	ion binding	ion binding	ion binding	Transport and binding proteins	Anions	3A0109s03R: phosphate/phosphite/phosphonate ABC transporter, periplasmic binding protein
T437	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Cations and iron carrying compounds	NaPi_cotrn_rel: Na/Pi-cotransporter II-related protein
T126	biological_process	localization	establishment of localization	transport	organic substance transport	lipid transport	lipid transport	lipid transport	lipid transport	lipid transport	lipid transport	lipid transport	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	outer_YhbN_LptA: lipopolysaccharide transport periplasmic protein LptA
T19	biological_process	localization	establishment of localization	transport	single-organism transport	iron coordination entity transport	iron chelate transport	iron chelate transport	iron chelate transport	iron chelate transport	iron chelate transport	iron chelate transport	Transport and binding proteins	Cations and iron carrying compounds	TonB-B12: TonB-dependent vitamin B12 receptor
T807	molecular_function	transporter activity	transmembrane transporter activity	active transmembrane transporter activity	active transmembrane transporter activity	active transmembrane transporter activity	active transmembrane transporter activity	active transmembrane transporter activity	active transmembrane transporter activity	active transmembrane transporter activity	active transmembrane transporter activity	active transmembrane transporter activity	None	None	ExbD_2: TonB system transport protein ExbD
T83	biological_process	localization	establishment of localization	transport	single-organism transport	carbohydrate transport	polysaccharide transport	polysaccharide transport	polysaccharide transport	polysaccharide transport	polysaccharide transport	polysaccharide transport	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	BexC_CtrB_KpsE: polysaccharide export inner-membrane protein, BexC/CtrB/KpsE family
T606	biological_process	localization	establishment of localization	transport	single-organism transport	iron coordination entity transport	iron chelate transport	iron chelate transport	iron chelate transport	iron chelate transport	iron chelate transport	iron chelate transport	Transport and binding proteins	Cations and iron carrying compounds	sider_RhtX_FptX: siderophore transporter, RhtX/FptX family
T869	biological_process	localization	establishment of localization	transport	ion transport	anion transport	inorganic anion transport	inorganic anion transport	inorganic anion transport	inorganic anion transport	inorganic anion transport	inorganic anion transport	Transport and binding proteins	Anions	2A51: chromate efflux transporter
T815	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Unknown substrate	anch_rpt_subst: anchored repeat ABC transporter, substrate-binding protein
T128	biological_process	localization	establishment of localization	transport	single-organism transport	sulfur compound transport	sulfur compound transport	sulfur compound transport	sulfur compound transport	sulfur compound transport	sulfur compound transport	sulfur compound transport	Transport and binding proteins	Anions	3a0106s01: sulfate ABC transporter, ATP-binding protein
T764	biological_process	cellular process	cellular metabolic process	cellular aromatic compound metabolic process	nucleobase-containing compound metabolic process	nucleobase-containing small molecule metabolic process	nucleoside phosphate metabolic process	nucleoside monophosphate metabolic process	purine nucleoside monophosphate metabolic process	purine ribonucleoside monophosphate metabolic process	ADP metabolic process	ATP generation from ADP	Energy metabolism	Glycolysis/gluconeogenesis	PFKA_PPi: diphosphate--fructose-6-phosphate 1-phosphotransferase
T799	biological_process	localization	establishment of localization	transport	single-organism transport	organic acid transport	organic acid transport	organic acid transport	organic acid transport	organic acid transport	organic acid transport	organic acid transport	None	None	ectoine_ehuD: ectoine/hydroxyectoine ABC transporter, permease protein EhuD
T608	biological_process	localization	establishment of localization	transport	single-organism transport	secretion	secretion by cell	protein secretion	protein secretion	protein secretion	protein secretion	protein secretion	Protein fate	Protein and peptide secretion and trafficking	type_VI_ompA: type VI secretion system peptidoglycan-associated domain
T249	biological_process	localization	establishment of localization	transport	organic substance transport	carbohydrate derivative transport	glycoside transport	glycoside transport	glycoside transport	glycoside transport	glycoside transport	glycoside transport	Transport and binding proteins	Other	drrA: daunorubicin resistance ABC transporter, ATP-binding protein
T802	biological_process	localization	establishment of localization	transport	nitrogen compound transport	amide transport	amide transport	amide transport	amide transport	amide transport	amide transport	amide transport	Transport and binding proteins	Amino acids, peptides and amines	urea_ABC_UrtA: urea ABC transporter, urea binding protein
T85	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Unknown substrate	ECF_ATPase_1: energy-coupling factor transporter ATPase
T48	None	None	None	None	None	None	None	None	None	None	None	None	Hypothetical proteins	Conserved	GET3_arsA_TRC40: transport-energizing ATPase, TRC40/GET3/ArsA family
T69	biological_process	localization	establishment of localization	transport	ion transport	cation transport	metal ion transport	transition metal ion transport	transition metal ion transport	transition metal ion transport	transition metal ion transport	transition metal ion transport	Transport and binding proteins	Cations and iron carrying compounds	nickel_nikD: nickel import ATP-binding protein NikD
T16	None	None	None	None	None	None	None	None	None	None	None	None	Energy metabolism	ATP-proton motive force interconversion	ATPase-IIC_X-K: Na,H/K antiporter P-type ATPase, alpha subunit
T72	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Other	2a69: auxin efflux carrier
T358	molecular_function	transporter activity	substrate-specific transporter activity	substrate-specific transmembrane transporter activity	amide transmembrane transporter activity	urea transmembrane transporter activity	urea transmembrane transporter activity	urea transmembrane transporter activity	urea transmembrane transporter activity	urea transmembrane transporter activity	urea transmembrane transporter activity	urea transmembrane transporter activity	Transport and binding proteins	Amino acids, peptides and amines	urea_trans_UrtB: urea ABC transporter, permease protein UrtB
